dataset,split_type,split_num,model,root_mean_squared_error
freesolv,spectra_tanimoto,0.50_2,LinReg,3.9151707343564572
freesolv,spectra_tanimoto,0.55_0,KRR,2.6039649165278846
freesolv,spectra_tanimoto,0.55_0,LinReg,2.676796075877636
freesolv,spectra_tanimoto,0.55_1,KRR,4.140425855385668
freesolv,spectra_tanimoto,0.55_1,LinReg,4.058728905179535
freesolv,random,0,KRR,3.0073904432655496
freesolv,random,0,LinReg,3.472752217162687
freesolv,random,1,KRR,3.995438153627582
freesolv,random,1,LinReg,4.439464656402508
freesolv,random,2,KRR,3.415718342930524
freesolv,random,2,LinReg,3.8574957962270475
freesolv,random,3,KRR,3.294591577989822
freesolv,random,3,LinReg,3.745031695017424
freesolv,random,4,KRR,3.6743413836753347
freesolv,random,4,LinReg,4.12074629635307
freesolv,scaffold,0,KRR,5.106495130104669
freesolv,scaffold,0,LinReg,5.398929026994488
freesolv,scaffold,1,KRR,5.119562193097587
freesolv,scaffold,1,LinReg,5.38297499087671
freesolv,scaffold,2,KRR,3.861373438379663
freesolv,scaffold,2,LinReg,4.196414969606095
freesolv,scaffold,3,KRR,4.135777393268027
freesolv,scaffold,3,LinReg,4.432502151963436
freesolv,scaffold,4,KRR,4.775719691295965
freesolv,scaffold,4,LinReg,5.03843502055785
freesolv,umap,0,KRR,2.889030566603575
freesolv,umap,0,LinReg,3.4442596837584247
freesolv,umap,1,KRR,2.7143037217314876
freesolv,umap,1,LinReg,3.1952542210301726
freesolv,umap,2,KRR,2.7310997338737817
freesolv,umap,2,LinReg,3.2993990860176985
freesolv,umap,3,KRR,2.8243826998731043
freesolv,umap,3,LinReg,3.399369610115765
freesolv,umap,4,KRR,2.9268052913586966
freesolv,umap,4,LinReg,3.553388710423248
