dataset,split_type,split_num,model,root_mean_squared_error
lipo,spectra_tanimoto,0.50_0,KRR,1.323172873765987
lipo,spectra_tanimoto,0.50_0,LinReg,1.3009186862555582
lipo,spectra_tanimoto,0.50_1,KRR,1.2907947703842118
lipo,spectra_tanimoto,0.50_1,LinReg,1.2688843686504216
lipo,spectra_tanimoto,0.50_2,KRR,1.1241393451485093
lipo,spectra_tanimoto,0.50_2,LinReg,1.0904333532862907
lipo,spectra_tanimoto,0.55_0,KRR,1.0556622815326386
lipo,spectra_tanimoto,0.55_0,LinReg,1.053169179752501
lipo,spectra_tanimoto,0.55_1,KRR,1.3925570352134347
lipo,spectra_tanimoto,0.55_1,LinReg,1.385690744028043
lipo,spectra_tanimoto,0.55_2,KRR,1.1154423636812383
lipo,spectra_tanimoto,0.55_2,LinReg,1.0829484273483645
lipo,spectra_tanimoto,0.60_0,KRR,1.3770484973431882
lipo,spectra_tanimoto,0.60_0,LinReg,1.4191138163194095
lipo,spectra_tanimoto,0.60_1,KRR,1.4059422707244043
lipo,spectra_tanimoto,0.60_1,LinReg,1.3227380844294157
lipo,spectra_tanimoto,0.60_2,KRR,0.8385787070491637
lipo,spectra_tanimoto,0.60_2,LinReg,0.8612166742463826
lipo,spectra_tanimoto,0.65_0,KRR,1.1920415719939872
lipo,spectra_tanimoto,0.65_0,LinReg,1.2090969631720319
lipo,spectra_tanimoto,0.65_1,KRR,1.0935208462787371
lipo,spectra_tanimoto,0.65_1,LinReg,1.1105683311442793
lipo,spectra_tanimoto,0.65_2,KRR,1.598080405429406
lipo,spectra_tanimoto,0.65_2,LinReg,1.5846053966330382
lipo,spectra_tanimoto,0.70_1,KRR,1.305799583296435
lipo,spectra_tanimoto,0.70_1,LinReg,1.211162791965628
lipo,spectra_tanimoto,0.70_2,KRR,1.244194954182969
lipo,spectra_tanimoto,0.70_2,LinReg,1.2479436171578178
lipo,random,0,KRR,1.009476239602788
lipo,random,0,LinReg,1.2056971954548064
lipo,random,1,KRR,1.0480075314526165
lipo,random,1,LinReg,1.236460893742069
lipo,random,2,KRR,0.9964669610726955
lipo,random,2,LinReg,1.1824111523773073
lipo,random,3,KRR,1.0065994197387822
lipo,random,3,LinReg,1.205773122529093
lipo,random,4,KRR,1.0569836360093665
lipo,random,4,LinReg,1.2172218290417895
lipo,scaffold,0,KRR,1.0925894453448768
lipo,scaffold,0,LinReg,1.242891220643588
lipo,scaffold,1,KRR,1.1149546935479877
lipo,scaffold,1,LinReg,1.2905241438542052
lipo,scaffold,2,KRR,1.084915135320442
lipo,scaffold,2,LinReg,1.2538402954102879
lipo,scaffold,3,KRR,1.0011890649301929
lipo,scaffold,3,LinReg,1.14047503430213
lipo,scaffold,4,KRR,1.0164997223566774
lipo,scaffold,4,LinReg,1.1745341300580028
lipo,umap,0,KRR,0.9459112707699424
lipo,umap,0,LinReg,1.106680455078553
lipo,umap,1,KRR,1.0425162266342813
lipo,umap,1,LinReg,1.159314520509571
lipo,umap,2,KRR,0.8272913396517232
lipo,umap,2,LinReg,0.9718413041131939
lipo,umap,3,KRR,1.3355469006244547
lipo,umap,3,LinReg,1.391953200492612
lipo,umap,4,KRR,1.1522774224608616
lipo,umap,4,LinReg,1.237289857406592
